strategy,clean_test_acc,clean_test_loss,trainable_params,train_seconds,best_val_acc,inference_ips
linear_probe,0.571762,1.656007,51813,316.242637,0.532739,318.347972
batchnorm_tuning,0.684673,1.175597,61413,356.599941,0.64099,310.744261
adapter_tuning,0.695663,1.124928,138853,267.701058,0.648119,311.833537
lora_tuning,0.657327,1.271341,194661,231.232388,0.61868,324.122069
full_finetune,0.754297,0.938261,11228325,267.183059,0.710693,322.138783
custom_model,0.766376,0.964557,11228325,625.623136,0.723366,322.792095
