strategy,blur_little,blur_medium,clean,downsampled,masked,noise_rotation
adapter_tuning,0.77303,0.675604,0.809129,0.404832,0.795564,0.785109
batchnorm_tuning,0.759366,0.654891,0.810475,0.380911,0.795089,0.790931
full_finetune,0.769822,0.670733,0.810515,0.420158,0.798574,0.785109
linear_probe,0.687406,0.573307,0.755663,0.311446,0.741822,0.730574
lora_tuning,0.68602,0.578059,0.749525,0.323881,0.737465,0.724436
