strategy,clean_test_acc,clean_test_loss,trainable_params,train_seconds,best_val_acc,inference_ips
linear_probe,0.640713,1.356558,129381,2514.7138,0.605545,279.132928
batchnorm_tuning,0.858515,0.49087,283253,2895.296366,0.825149,280.141485
adapter_tuning,0.786673,0.75422,567845,1359.386785,0.759208,268.699928
lora_tuning,0.85598,0.502029,2583141,1151.348015,0.817822,248.92879
full_finetune,0.875941,0.454032,20306869,1367.64826,0.84,286.502025
