strategy,clean_test_acc,clean_test_loss,trainable_params,train_seconds,best_val_acc,inference_ips
linear_probe,0.755663,0.894075,77669,790.831049,0.702376,380.267699
batchnorm_tuning,0.810475,0.675295,116069,1265.088519,0.757822,393.948344
adapter_tuning,0.809129,0.673638,972197,644.752243,0.760528,359.251795
lora_tuning,0.749525,0.944163,28794725,2631.803282,0.693993,383.018579
full_finetune,0.810515,0.779315,85876325,1783.294334,0.75868,386.048449
