strategy,blur_little,blur_medium,clean,downsampled,masked,noise_rotation
adapter_tuning,0.687723,0.467723,0.786673,0.225109,0.773703,0.733188
batchnorm_tuning,0.778535,0.594337,0.858515,0.271762,0.850178,0.812515
full_finetune,0.799287,0.618574,0.875941,0.323248,0.867881,0.83196
linear_probe,0.482851,0.271446,0.640713,0.081822,0.621624,0.560594
lora_tuning,0.776198,0.600634,0.85598,0.317307,0.84602,0.806733
