strategy,clean_test_acc,clean_test_loss,trainable_params,train_seconds,best_val_acc,variant_blur_little_acc,variant_blur_little_loss,variant_blur_medium_acc,variant_blur_medium_loss,variant_clean_acc,variant_clean_loss,variant_downsampled_acc,variant_downsampled_loss,variant_masked_acc,variant_masked_loss,variant_noise_rotation_acc,variant_noise_rotation_loss
batchnorm_tuning,0.8620990099009901,0.4816980639855829,283253,4542.646355867386,0.8231683168316831,0.7787326732673268,0.80834079437607,0.5939009900990099,1.6084681708222568,0.854019801980198,0.5123697130754958,0.27394059405940596,3.7302651760743397,0.848,0.5341479392100753,0.806930693069307,0.6906861341754988
lora_tuning,0.8413861386138614,0.5562126467711854,902153,3812.4683957099915,0.8017161716171617,0.7474059405940594,0.9103109420396314,0.555960396039604,1.753218636682718,0.8295841584158415,0.6012259812803552,0.26201980198019803,3.437535495304825,0.8208316831683168,0.631295597101866,0.7686732673267327,0.8257992069626798
adapter_tuning,0.7617425742574258,0.8509543680011636,348901,1768.577542066574,0.7482508250825083,0.6370693069306931,1.3524426524237831,0.4076039603960396,2.3798422535244783,0.7496237623762376,0.8957682217135288,0.1641980198019802,4.03719125911977,0.7410693069306931,0.9312312509163772,0.6826930693069307,1.151849361986217
linear_probe,0.6467722772277228,1.3248898101584745,129381,5473.958654642105,0.6023102310231023,0.48316831683168315,2.081947156962782,0.2790891089108911,3.1041687807139784,0.6333465346534654,1.394375457695215,0.08716831683168316,4.917769617477266,0.6222970297029703,1.4400696357618463,0.5649108910891089,1.6970613451476144
